Zeit:;SDP1_01_330SY_RPM.Current_Value;SDP1_08_111TT.PV;SDP1_01_340TT.PV;SDP1_01_346PT.PV;SDP1_01_310SY_RPM.Current_Value;SDP1_01_326PT.PV;SDP1_01_370SY_RPM.Current_Value;SDP1_01_386PT.PV;SDP1_01_340TIC.SP;SDP1_56_665FT.PV;SDP1_56_461DT.PV;SDP1_56_361DT.PV;SDP1_02_230SY.PV;SDP1_08_110TT.PV;SDP1_56_565FT.PV
04.12.2021 19:37:15.453;;;;;;;;;;;;;;;10938,61
04.12.2021 19:37:15.891;;69,2;;;;;;;;;;;;;
04.12.2021 19:37:15.938;;;;;;;;;;;;;;;10940,05
04.12.2021 19:37:15.969;;;;;;251;;;;;;;;;
04.12.2021 19:37:16.094;;;93,5;;;;;;;;;;;;
04.12.2021 19:37:16.406;;;;;;;;;;;;;;75;
04.12.2021 19:37:20.000;;;;;;251;;;;;;;;;
04.12.2021 19:37:20.672;;;;;;;;254;;;;;;;
04.12.2021 19:37:23.688;;;;;;;63,6;;;;;;;;
04.12.2021 19:37:24.000;64;;;;63,8;;;;;;;;;;
04.12.2021 19:37:25.156;;;;255;;;;;;;;;;;
04.12.2021 19:38:15.768;;;;;;;;;;;1,1834;0,9958;;;
04.12.2021 19:40:36.598;;;91,5;;;;;;;;;;;;
04.12.2021 19:40:56.943;66;;;;65,5;;;;;;;;;;
04.12.2021 19:40:57.193;;;;;;;65,5;;;;;;;;
04.12.2021 19:41:04.677;;;;270;;;;;;;;;;;
04.12.2021 19:41:04.943;;67,2;;;;;;;;;;;;;
04.12.2021 19:41:06.162;;;;;;;;270;;;;;;;
04.12.2021 19:41:08.662;;;;;;;;133;;;;;;;
04.12.2021 19:41:12.068;;;91,8;;;;;;;;;;;;
04.12.2021 19:41:12.162;;;;136;;;;;;;;;;;
04.12.2021 19:41:12.490;;;;;;269;;;;;;;;;
04.12.2021 19:41:13.412;;;;;;;;;;;;;;;11262,15
04.12.2021 19:41:13.943;;;;;;;;;;;;;;69;
04.12.2021 19:41:19.912;;;;;;;;;;;;;;;11256,69
04.12.2021 19:41:20.443;;;;;;266;;;;;;;;;
04.12.2021 19:41:20.662;;;;197;;;;194;;;;;;;
04.12.2021 19:41:20.912;;;;;;;;;;;;;;;11256,36
04.12.2021 19:41:21.662;;;;198;;;;194;;;;;;;
04.12.2021 19:41:22.240;;;;;;;;;;;;;;69;
04.12.2021 19:41:22.459;;;;;;267;;;;;;;;;
04.12.2021 19:41:26.021;66;;;;65,6;;;;;;;;;;
04.12.2021 19:41:26.209;;;;;;;65,7;;;;;;;;
04.12.2021 19:41:27.177;;;;;;;66,0;;;;;;;;
04.12.2021 19:41:27.365;;67,1;;;;;;;;;;;;;
04.12.2021 19:41:27.474;66;;;;66,0;;;;;;;;;;
04.12.2021 19:41:31.459;;;;;;273;;;;;;;;;
04.12.2021 19:41:32.021;;;;;;78;;;;;;;;;
04.12.2021 19:41:32.224;;;;201;;;;;;;;;;;
04.12.2021 19:41:41.084;;;91,7;;;;;;;;;;;;
04.12.2021 19:41:52.974;;;;;;;;;;;;;;;11341,53
04.12.2021 19:42:22.993;65;;;;65,0;;;;;;;;;;
04.12.2021 19:42:23.180;;;;;;;65,0;;;;;;;;
04.12.2021 19:42:31.664;;;;193;;;;;;;;;;;
04.12.2021 19:42:51.978;;;;;;;;;;;;;;;11183,75
04.12.2021 19:43:01.697;;;;;;;;187;;;;;;;
04.12.2021 19:43:08.447;;66,7;;;;;;;;;;;;;
04.12.2021 19:44:10.947;;;;;;;;;;;;;;68;
04.12.2021 19:45:09.169;;;;196;;;;;;;;;;;
04.12.2021 19:45:22.075;;;90,0;;;;;;;;;;;;
04.12.2021 19:45:23.200;;;;;;;;200;;;;;;;
04.12.2021 19:45:23.482;;66,8;;;;;;;;;;;;;
04.12.2021 19:45:24.935;;;;;;;;;;;;;;;11270,47
04.12.2021 19:45:25.013;;;;;;190;;;;;;;;;
04.12.2021 19:45:25.919;;;;;;;;;;;;;;;11266,57
04.12.2021 19:45:25.997;;;;;;190;;;;;;;;;
04.12.2021 19:45:26.513;;;;;;190;;;;;;;;;
04.12.2021 19:45:30.169;;;;;;;;200;;;;;;;
04.12.2021 19:45:31.169;;;;196;;;;;;;;;;;
04.12.2021 19:45:53.079;;66,9;;;;;;;;;;;;;
04.12.2021 19:45:59.704;;;;196;;;;;;;;;;;
04.12.2021 19:46:01.642;;;90,1;;;;;;;;;;;;
04.12.2021 19:46:12.954;65;;;;65,1;;;;;;;;;;
04.12.2021 19:46:13.236;;;;;;;65,3;;;;;;;;
04.12.2021 19:46:13.939;66;;;;65,5;;;;;;;;;;
04.12.2021 19:46:14.079;;;;;;;;;;;;;;68;
04.12.2021 19:46:14.236;;;;;;;65,5;;;;;;;;
04.12.2021 19:46:19.220;;;;;;;;203;;;;;;;
04.12.2021 19:46:48.923;;;;;;;;;;;;;;;11338,68
04.12.2021 19:46:50.720;;;;;;;65,0;;;;;;;;
04.12.2021 19:46:50.955;65;;;;65,0;;;;;;;;;;
04.12.2021 19:47:08.705;;;;;;;;197;;;;;;;
04.12.2021 19:47:10.439;;;;;;;;;;;;;;;11254,85
04.12.2021 19:47:11.939;66;;;;65,5;;;;;;;;;;
04.12.2021 19:47:12.236;;;;;;;65,5;;;;;;;;
04.12.2021 19:47:38.970;;;;;;196;;;;;;;;;
04.12.2021 19:48:15.814;;;;;;;;;;;1,1839;0,9958;;68;
04.12.2021 19:48:21.174;;;;;;;;;;;;;96,0;;
04.12.2021 19:48:40.207;;;;199;;;;;;;;;;;
04.12.2021 19:49:15.661;;67,5;;;;;;;;;;;;;
04.12.2021 19:49:20.724;;;;199;;;;;;;;;;;
04.12.2021 19:49:26.208;;;;;;;;197;;;;;;;
04.12.2021 19:49:27.083;;;90,3;;;;;;;;;;;;
04.12.2021 19:49:29.911;;;;;;;;;;;;;;;11321,49
04.12.2021 19:49:29.943;;;;;;195;;;;;;;;;
04.12.2021 19:49:30.411;;;;;;;;;;;;;;;11325,25
04.12.2021 19:49:30.458;;;;;;195;;;;;;;;;
04.12.2021 19:49:31.411;;;;;;;;;;;;;;;11322,01
04.12.2021 19:49:35.224;;;;199;;;;;;;;;;;
04.12.2021 19:49:36.161;;;;;;;;;;;;;;68;
04.12.2021 19:49:36.224;;;;;;;;197;;;;;;;
04.12.2021 19:49:36.724;;;;199;;;;;;;;;;;
04.12.2021 19:49:48.568;;;90,4;;;;;;;;;;;;
04.12.2021 19:49:53.708;;67,6;;;;;;;;;;;;;
04.12.2021 19:49:58.943;;;;;;194;;;;;;;;;
04.12.2021 19:50:04.943;66;;;;65,6;;;;;;;;;;
04.12.2021 19:50:05.240;;;;;;;65,7;;;;;;;;
04.12.2021 19:50:59.663;;67,7;;;;;;;;;;;;;
04.12.2021 19:52:16.664;;;;;;;;;;;;;;68;
04.12.2021 19:52:22.586;;;90,6;;;;;;;;;;;;
04.12.2021 19:52:27.227;;;;;;;66,5;;;;;;;;
04.12.2021 19:52:27.492;66;;;;66,5;;;;;;;;;;
04.12.2021 19:52:37.711;;;;206;;;;;;;;;;;
04.12.2021 19:52:45.727;;;;;;;;204;;;;;;;
04.12.2021 19:52:53.946;;;;;;202;;;;;;;;;
04.12.2021 19:52:55.430;;;;;;;;;;;;;;;11489,14
04.12.2021 19:52:56.211;;;;;;;66,0;;;;;;;;
04.12.2021 19:52:56.430;66;;;;66,0;;;;;;;;;;
04.12.2021 19:53:16.227;;;;203;;;;;;;;;;;
04.12.2021 19:53:29.727;;;;;;;;200;;;;;;;
04.12.2021 19:53:30.086;;;90,1;;;;;;;;;;;;
04.12.2021 19:53:33.446;;;;;;197;;;;;;;;;
04.12.2021 19:53:34.914;;;;;;;;;;;;;;;11404,95
04.12.2021 19:53:35.430;;;;;;;;;;;;;;;11404,13
04.12.2021 19:53:35.461;;;;;;197;;;;;;;;;
04.12.2021 19:53:37.164;;;;;;;;;;;;;;68;
04.12.2021 19:53:42.711;;;;203;;;;;;;;;;;
04.12.2021 19:53:44.258;;;;203;;;;;;;;;;;
04.12.2021 19:53:55.727;;;;;;;;200;;;;;;;
04.12.2021 19:53:59.571;;;90,0;;;;;;;;;;;;
04.12.2021 19:54:14.414;;;;;;;;;;;;;;;11409,55
04.12.2021 19:55:00.604;;;89,9;;;;;;;;;;;;
04.12.2021 19:55:24.213;;;;;;;;201;;;;;;;
04.12.2021 19:55:48.667;;67,8;;;;;;;;;;;;;
04.12.2021 19:56:05.777;;;;;;;65,9;;;;;;;;
04.12.2021 19:56:06.449;66;;;;65,7;;;;;;;;;;
04.12.2021 19:56:06.949;66;;;;65,5;;;;;;;;;;
04.12.2021 19:56:07.261;;;;;;;65,5;;;;;;;;
04.12.2021 19:56:11.777;;;;199;;;;;;;;;;;
04.12.2021 19:56:12.746;;;;;;;66,0;;;;;;;;
04.12.2021 19:56:12.949;66;;;;66,0;;;;;;;;;;
04.12.2021 19:56:27.464;;;;;;199;;;;;;;;;
04.12.2021 19:56:41.449;;;;;;194;;;;;;;;;
04.12.2021 19:56:50.730;;;;;;;;197;;;;;;;
04.12.2021 19:56:57.918;;;;;;;;;;;;;;;11317,08
